"","MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS"
"127","11354","Flushing/Murray Hill","Queens",1154,2078.59,55518.32,259,466.51,30.55,NA
"128","11355","Flushing/Murray Hill/Queensboro Hill","Queens",1253,1565.98,80013.97,146,182.47,32.21,NA
"129","11356","College Point","Queens",547,2345.35,23322.74,41,175.79,30.24,NA
"130","11357","Whitestone","Queens",804,2011.23,39975.56,81,202.62,26.75,NA
"131","11358","Auburndale/Murray Hill","Queens",561,1578.44,35541.5,35,98.48,24.62,NA
"132","11360","Bayside (North)","Queens",310,1643.41,18863.17,16,84.82,21.27,NA
"133","11361","Bayside (North)/Bayside (South)","Queens",444,1587.3,27971.99,40,143,23.19,NA
"134","11362","Douglaston-Little Neck","Queens",307,1730.75,17738.01,18,101.48,25.5,NA
"135","11363","Douglaston-Little Neck","Queens",98,1368.9,7159.03,3,41.91,22.4,NA
"136","11364","Bayside (South)/Oakland Gardens","Queens",459,1328.03,34562.6,25,72.33,23.03,NA
"137","11365","Auburndale/Fresh Meadows/Pomonok/Utopia","Queens",822,1866.03,44050.79,56,127.13,27.3,NA
"138","11366","Fresh Meadows/Hillcrest","Queens",385,2794.43,13777.39,22,159.68,32.06,NA
"139","11367","Kew Gardens Hills/Pomonok","Queens",1018,2421.55,42039.24,55,130.83,28.79,NA
"140","11368","Corona/North Corona","Queens",4446,3984.08,111594.1,390,349.48,38.57,NA
"141","11369","Airport/East Elmhurst","Queens",1580,4333.25,36462.23,160,438.81,37.69,NA
"142","11370","Jackson Heights/Rikers Island","Queens",1311,4002,32758.65,49,149.58,36.07,NA
"143","11372","Jackson Heights","Queens",2467,3943.23,62562.88,230,367.63,35.99,NA
"144","11373","Elmhurst","Queens",3182,3426.08,92875.81,283,304.71,34.37,NA
"145","11374","Rego Park","Queens",1061,2523.33,42047.63,84,199.77,28.17,NA
"146","11375","Forest Hills","Queens",1487,2107.64,70552.99,176,249.46,27.56,NA
"147","11377","Woodside","Queens",2189,2531.56,86468.55,173,200.07,29.36,NA
"148","11378","Maspeth","Queens",725,2095.77,34593.45,64,185.01,25.74,NA
"149","11379","Middle Village","Queens",792,2188.11,36195.55,80,221.02,27.53,NA
"150","11385","Glendale/Ridgewood","Queens",2119,2058.68,102929.91,117,113.67,30.05,NA
"151","11411","Cambria Heights","Queens",676,3298.48,20494.26,36,175.66,34.81,NA
"152","11412","St. Albans","Queens",1222,3105.71,39346.92,75,190.61,33.91,NA
"153","11413","Laurelton/Rosedale","Queens",1296,2969.21,43647.97,65,148.92,34.32,NA
"154","11414","Hamilton Beach/Howard Beach/Lindenwood","Queens",796,2816.15,28265.56,52,183.97,34.02,NA
"155","11415","Kew Gardens","Queens",526,2734.71,19234.25,41,213.16,29.13,NA
"156","11416","Ozone Park","Queens",700,2630.15,26614.42,50,187.87,33.78,NA
"157","11417","Ozone Park","Queens",876,2801.35,31270.63,35,111.93,31.72,NA
"158","11418","Richmond Hill","Queens",1069,2805.39,38105.16,90,236.19,32.83,NA
"159","11419","Richmond Hill/South Ozone Park","Queens",1168,2297.01,50848.81,86,169.13,32.77,NA
"160","11420","South Ozone Park","Queens",1339,2765.63,48415.71,96,198.28,33.62,NA
"161","11421","Woodhaven","Queens",1175,2783.73,42209.49,94,222.7,33.46,NA
"162","11422","Rosedale","Queens",961,2849.8,33721.62,41,121.58,32.18,NA
"163","11423","Hollis/Holliswood","Queens",1062,3314.49,32041.14,90,280.89,34.16,NA
"164","11426","Bellerose","Queens",494,2425.93,20363.28,29,142.41,31.79,NA
"165","11427","Bellerose/Hollis Hills/Holliswood","Queens",771,3321.5,23212.38,44,189.55,32.22,NA
"166","11428","Queens Village","Queens",664,3435.53,19327.45,40,206.96,36.27,NA
"167","11429","Queens Village","Queens",923,3292.16,28036.33,61,217.57,33.65,NA
"168","11432","Hillcrest/Jamaica Estates/Jamaica Hills","Queens",1769,2799.25,63195.4,224,354.46,33.83,NA
"169","11433","Jamaica","Queens",930,2580.77,36035.76,72,199.8,32.64,NA
"170","11434","Airport/South Jamaica/Springfield Gardens/St. Albans","Queens",2050,3035.41,67536.11,153,226.55,31.97,NA
"171","11435","Briarwood/Jamaica","Queens",1603,2779.91,57663.84,135,234.12,30.47,NA
"172","11436","South Jamaica/South Ozone Park","Queens",512,2460.66,20807.42,37,177.82,31.66,NA
"173","11691","Edgemere/Far Rockaway","Queens",2280,3520.75,64759.02,296,457.08,32.21,NA
"174","11692","Arverne/Edgemere","Queens",593,2947.28,20120.24,82,407.55,30.15,NA
"175","11693","Arverne/Broad Channel","Queens",325,2624.93,12381.27,25,201.92,31.8,NA
"176","11694","Belle Harbor-Neponsit/Rockaway Park","Queens",695,3414.26,20355.78,75,368.45,29.68,NA
"177","11697","Breezy Point","Queens",107,3025.43,3536.69,3,84.83,9.67,NA
